en,pos,tr,ex_en,ex_tr,note
disabled,adj,с ограниченными возможностями,,,
disagreement,n,разногласие,,,
disappoint,v,разочаровывать,,,
disappointment,n,разочарование,,,
disc,n,диск,,,
discipline,n,дисциплина,,,
discourage,v,отбивать желание,,,
dishonest,adj,нечестный,,,
dismiss,v,"увольнять, отклонять",,,
disorder,n,"беспорядок, расстройство",,,
display,n,"демонстрация, дисплей",,,
display,v,показывать,,,
distant,adj,далёкий,,,
distinct,adj,"отчётливый, отдельный",,,
distinguish,v,различать,,,
distract,v,отвлекать,,,
distribute,v,распространять,,,
distribution,n,распределение,,,
district,n,"район, округ",,,
disturb,v,беспокоить,,,
dive,v,нырять,,,
diverse,adj,разнообразный,,,
diversity,n,разнообразие,,,
division,n,"деление, подразделение",,,
divorce,n,развод,,,
divorce,v,разводиться,,,
document,n,документ,,,
document,v,документировать,,,
domestic,adj,"внутренний, домашний",,,
dominant,adj,доминирующий,,,
dominate,v,доминировать,,,
donation,n,пожертвование,,,
dot,n,точка,,,
downwards,adv,вниз,,,
dozen,n,дюжина,,,
draft,n,"черновик, проект",,,
draft,v,"составлять, призывать",,,
drag,v,тащить,,,
dramatic,adj,драматический,,,
dramatically,adv,"резко, драматически",,,
drought,n,засуха,,,
dull,adj,"скучный, тусклый",,,
dump,v,выбрасывать,,,
duration,n,длительность,,,
dynamic,adj,динамичный,,,
eager,adj,"нетерпеливый, жаждущий",,,
economics,n,экономика (наука),,,
economist,n,экономист,,,
edit,v,редактировать,,,
edition,n,издание,,,
editorial,n,редакционная статья,,,
editorial,adj,редакционный,,,
efficient,adj,эффективный,,,
efficiently,adv,эффективно,,,
elbow,n,локоть,,,
elderly,adj,пожилой,,,
elderly,n,пожилые люди,,,
elect,v,избирать,,,
element,n,элемент,,,
electronics,n,электроника,,,
elegant,adj,элегантный,,,
elementary,adj,"начальный, элементарный",,,
eliminate,v,устранять,,,
elsewhere,adv,в другом месте,,,
embrace,v,"обнимать, принимать",,,
emerge,v,появляться,,,
emission,n,выброс,,,
emotional,adj,эмоциональный,,,
emotionally,adv,эмоционально,,,
emphasis,n,"акцент, упор",,,
emphasise,v,подчёркивать,,,
empire,n,империя,,,
enable,v,давать возможность,,,
encounter,v,сталкиваться,,,
engage,v,вовлекать,,,
enhance,v,"улучшать, усиливать",,,
enjoyable,adj,приятный,,,
enquiry,n,запрос,,,
ensure,v,обеспечивать,,,
entertaining,adj,занимательный,,,
enthusiasm,n,энтузиазм,,,
enthusiastic,adj,восторженный,,,
entire,adj,"весь, целый",,,
entirely,adv,полностью,,,
entrepreneur,n,предприниматель,,,
envelope,n,конверт,,,
equip,v,оснащать,,,
equivalent,adj,эквивалентный,,,
equivalent,n,эквивалент,,,
era,n,эпоха,,,
erupt,v,извергаться,,,
essentially,adv,по существу,,,
establish,v,"учреждать, устанавливать",,,
estate,n,"поместье, недвижимость",,,
estimate,n,оценка,,,
estimate,v,оценивать,,,
ethic,n,этика,,,
ethical,adj,этический,,,
ethnic,adj,этнический,,,
evaluate,v,оценивать,,,
evaluation,n,оценка,,,
even,adv,даже,,,
evidence,n,доказательство,,,
evident,adj,очевидный,,,
evil,adj,злой,,,
evil,n,зло,,,
evolution,n,эволюция,,,
evolve,v,развиваться,,,
examination,n,"экзамен, обследование",,,
exceed,v,превышать,,,
exception,n,исключение,,,
excessive,adj,чрезмерный,,,
exclude,v,исключать,,,
excuse,n,оправдание,,,
excuse,v,извинять,,,
executive,n,руководитель,,,
executive,adj,исполнительный,,,
existence,n,существование,,,
exotic,adj,экзотический,,,
expansion,n,расширение,,,
expectation,n,ожидание,,,
expense,n,расход,,,
expertise,n,"экспертиза, опыт",,,
exploit,v,эксплуатировать,,,
exploration,n,исследование,,,
expose,v,"разоблачать, подвергать",,,
exposure,n,"воздействие, огласка",,,
extend,v,"расширять, продлевать",,,
extension,n,"расширение, продление",,,
extensive,adj,обширный,,,
extensively,adv,широко,,,
extent,n,"степень, масштаб",,,
external,adj,внешний,,,
extract,n,отрывок,,,
extract,v,извлекать,,,
extraordinary,adj,необычайный,,,
fabric,n,ткань,,,
fabulous,adj,потрясающий,,,
facility,n,"учреждение, объект",,,
factor,n,фактор,,,
faculty,n,"факультет, способность",,,
failed,adj,неудачный,,,
failure,n,"провал, неудача",,,
faith,n,вера,,,
fake,adj,поддельный,,,
fake,n,подделка,,,
fame,n,слава,,,
fantasy,n,фантазия,,,
fare,n,плата за проезд,,,
fault,n,"вина, неисправность",,,
favour,v,"предпочитать, одобрять",,,
feather,n,перо,,,
fee,n,"плата, гонорар",,,
feedback,n,обратная связь,,,
fellow,adj,"товарищеский, коллега",,,
finance,n,финансы,,,
finance,v,финансировать,,,
finding,n,"находка, результат исследования",,,
firefighter,n,пожарный,,,
firework,n,фейерверк,,,
firm,n,фирма,,,
firm,adj,твёрдый,,,
firmly,adv,твёрдо,,,
flame,n,пламя,,,
flash,v,сверкать,,,
flavour,n,"вкус, аромат",,,
flexible,adj,гибкий,,,
float,v,"плавать, держаться на воде",,,
folding,adj,складной,,,
fond,adj,"любящий, привязанный",,,
fool,n,дурак,,,
fool,v,дурачить,,,
forbid,v,запрещать,,,
forecast,n,прогноз,,,
forecast,v,прогнозировать,,,
forgive,v,прощать,,,
format,n,формат,,,
formation,n,формирование,,,
former,adj,бывший,,,
formerly,adv,прежде,,,
fortunate,adj,удачливый,,,
fortune,n,"удача, состояние",,,
forum,n,форум,,,
found,v,основывать,,,
foundation,n,"фундамент, фонд",,,
founder,n,основатель,,,
fraction,n,"доля, дробь",,,
fragment,n,фрагмент,,,
framework,n,"структура, рамки",,,
fraud,n,мошенничество,,,
freedom,n,свобода,,,
freely,adv,свободно,,,
frequency,n,частота,,,
frequent,adj,частый,,,
frustrated,adj,"разочарованный, раздражённый",,,
fulfil,v,выполнять,,,
full-time,adj,полный рабочий день,,,
full-time,adv,полный рабочий день,,,
fully,adv,полностью,,,
fund,n,фонд,,,
fund,v,финансировать,,,
fundamental,adj,фундаментальный,,,
fundamentally,adv,фундаментально,,,
funding,n,финансирование,,,
funeral,n,похороны,,,
furious,adj,в ярости,,,
furthermore,adv,более того,,,
gain,v,"получать, набирать",,,
gallon,n,галлон,,,
gaming,n,игровая индустрия,,,
gang,n,банда,,,
gay,adj,гомосексуальный,,,
gender,n,"гендер, пол",,,
gene,n,ген,,,
generate,v,генерировать,,,
genetic,adj,генетический,,,
genius,n,гений,,,
genre,n,жанр,,,
genuine,adj,подлинный,,,
genuinely,adv,искренне,,,
gesture,n,жест,,,
globalization,n,глобализация,,,
globe,n,земной шар,,,
golden,adj,золотой,,,
goodness,n,доброта,,,
gorgeous,adj,великолепный,,,
govern,v,управлять,,,
grab,v,хватать,,,
gradually,adv,постепенно,,,
grand,adj,грандиозный,,,
grant,n,грант,,,
grant,v,предоставлять,,,
graphic,adj,графический,,,
graphics,n,графика,,,
grave,n,могила,,,
greatly,adv,в значительной степени,,,
greenhouse,n,"теплица, оранжерея",,,
guarantee,v,гарантировать,,,
guideline,n,"рекомендация, директива",,,
habitat,n,среда обитания,,,
handle,v,"справляться, обращаться",,,
harbour,n,гавань,,,
harm,n,вред,,,
harm,v,вредить,,,
harmful,adj,вредный,,,
headquarters,n,штаб-квартира,,,
heal,v,"заживать, исцелять",,,
healthcare,n,здравоохранение,,,
hearing,n,"слух, слушание",,,
heaven,n,"небо, рай",,,
heel,n,"пятка, каблук",,,
hell,n,ад,,,
helmet,n,шлем,,,
herb,n,трава,,,
hesitate,v,колебаться,,,
hidden,adj,скрытый,,,
hilarious,adj,уморительный,,,
hip,n,бедро,,,
historian,n,историк,,,
hollow,adj,полый,,,
holy,adj,святой,,,
homeless,adj,бездомный,,,
honesty,n,честность,,,
honour,n,честь,,,
hook,n,крючок,,,
hopefully,adv,будем надеяться,,,
household,n,домохозяйство,,,
household,adj,домашний,,,
housing,n,жильё,,,
humorous,adj,юмористический,,,
humour,n,юмор,,,
hunger,n,голод,,,
hunting,n,охота,,,
icon,n,"икона, значок",,,
id,n,удостоверение личности,,,
ideal,adj,идеальный,,,
ideal,n,идеал,,,
identical,adj,идентичный,,,
identity,n,"личность, идентичность",,,
illusion,n,иллюзия,,,
illustrate,v,иллюстрировать,,,
illustration,n,иллюстрация,,,
imagination,n,воображение,,,
immigration,n,иммиграция,,,
immune,adj,иммунный,,,
impatient,adj,нетерпеливый,,,
implement,v,внедрять,,,
implication,n,"следствие, намёк",,,
imply,v,подразумевать,,,
impose,v,навязывать,,,
impress,v,впечатлять,,,
impressed,adj,впечатлён,,,
incentive,n,стимул,,,
inch,n,дюйм,,,
incident,n,инцидент,,,
income,n,доход,,,
incorporate,v,включать в себя,,,
incorrect,adj,неверный,,,
increasingly,adv,всё больше,,,
independence,n,независимость,,,
index,n,"индекс, указатель",,,
indication,n,"признак, указание",,,
industrial,adj,промышленный,,,
inevitable,adj,неизбежный,,,
inevitably,adv,неизбежно,,,
infection,n,инфекция,,,
infer,v,делать вывод,,,
inflation,n,инфляция,,,
info,n,информация,,,
inform,v,сообщать,,,
inhabitant,n,житель,,,
inherit,v,наследовать,,,
initial,adj,первоначальный,,,
initially,adv,изначально,,,
initiative,n,инициатива,,,
ink,n,чернила,,,
inner,adj,внутренний,,,
innovation,n,инновация,,,
innovative,adj,инновационный,,,
input,n,"ввод, вклад",,,
insert,v,вставлять,,,
insight,n,"понимание, проницательность",,,
insist,v,настаивать,,,
inspector,n,инспектор,,,
inspire,v,вдохновлять,,,
install,v,устанавливать,,,
installation,n,установка,,,
instance,n,"пример, случай",,,
instant,adj,мгновенный,,,
instantly,adv,мгновенно,,,
institute,n,институт,,,
institution,n,учреждение,,,
insurance,n,страхование,,,
integrate,v,интегрировать,,,
intellectual,adj,интеллектуальный,,,
intellectual,n,интеллектуал,,,
intended,adj,предназначенный,,,
intense,adj,интенсивный,,,
interact,v,взаимодействовать,,,
interaction,n,взаимодействие,,,
internal,adj,внутренний,,,
interpret,v,интерпретировать,,,
interpretation,n,интерпретация,,,
interrupt,v,прерывать,,,
interval,n,"интервал, антракт",,,
invade,v,вторгаться,,,
invasion,n,вторжение,,,
investigation,n,расследование,,,
investment,n,инвестиция,,,
investor,n,инвестор,,,
isolate,v,изолировать,,,
isolated,adj,изолированный,,,
issue,v,"выпускать, издавать",,,
jail,n,тюрьма,,,
jet,n,реактивный самолёт,,,
joint,n,сустав,,,
joint,adj,совместный,,,
journalism,n,журналистика,,,
joy,n,радость,,,
judgement,n,суждение,,,
junior,adj,младший,,,
junior,n,младший сотрудник,,,
jury,n,присяжные,,,
justice,n,"справедливость, правосудие",,,
justify,v,оправдывать,,,
kidnap,v,похищать,,,
kidney,n,почка,,,
kindergarten,n,детский сад,,,
kit,n,"комплект, набор",,,
labour,n,труд,,,
ladder,n,лестница,,,
landing,n,"посадка, лестничная площадка",,,
landscape,n,пейзаж,,,
lane,n,"полоса, дорожка",,,
largely,adv,в значительной степени,,,
laser,n,лазер,,,
lately,adv,в последнее время,,,
launch,v,запускать,,,
leadership,n,руководство,,,
league,n,лига,,,
lean,v,"наклоняться, прислоняться",,,
legend,n,легенда,,,
lens,n,"линза, объектив",,,
licence,n,лицензия,,,
lifetime,n,продолжительность жизни,,,
lighting,n,освещение,,,
likewise,adv,так же,,,
limitation,n,ограничение,,,
limited,adj,ограниченный,,,
literally,adv,буквально,,,
literary,adj,литературный,,,
litter,n,мусор,,,
lively,adj,"живой, оживлённый",,,
liver,n,печень,,,
load,n,груз,,,
load,v,грузить,,,
loan,n,"кредит, заём",,,
logical,adj,логичный,,,
logo,n,логотип,,,
long-term,adj,долгосрочный,,,
loose,adj,"свободный, незакреплённый",,,
lord,n,лорд,,,
lottery,n,лотерея,,,
lower,v,снижать,,,
loyal,adj,верный,,,
lung,n,лёгкое,,,
lyric,n,текст песни,,,
magnificent,adj,великолепный,,,
maintain,v,поддерживать,,,
majority,n,большинство,,,
makeup,n,макияж,,,
making,n,"создание, производство",,,
manufacture,v,производить,,,
manufacturing,n,производство,,,
marathon,n,марафон,,,
margin,n,"грань, поле страницы",,,
marker,n,"маркер, отметка",,,
martial,adj,"военный, боевой",,,
mass,n,масса,,,
mass,adj,массовый,,,
massive,adj,массивный,,,
master,n,мастер,,,
master,v,овладевать,,,
matching,adj,подходящий под пару,,,
mate,n,товарищ,,,
mate,v,спариваться,,,
maximum,n,максимум,,,
maximum,adj,максимальный,,,
means,n,"средство, способ",,,
measurement,n,измерение,,,
mechanic,n,механик,,,
mechanical,adj,механический,,,
mechanism,n,механизм,,,
medal,n,медаль,,,
medication,n,медикаменты,,,
medium,n,"средство, среда",,,
melt,v,"таять, плавить",,,
membership,n,членство,,,
memorable,adj,незабываемый,,,
metaphor,n,метафора,,,
method,n,метод,,,
military,adj,военный,,,
military,n,военные,,,
miner,n,шахтёр,,,
mineral,n,минерал,,,
minimum,n,минимум,,,
minimum,adj,минимальный,,,
minister,n,министр,,,
minor,adj,незначительный,,,
minority,n,меньшинство,,,
miserable,adj,несчастный,,,
mission,n,миссия,,,
mistaken,adj,ошибочный,,,
mixed,adj,смешанный,,,
mode,n,"режим, способ",,,
modest,adj,скромный,,,
modify,v,видоизменять,,,
monitor,n,монитор,,,
monitor,v,контролировать,,,
monster,n,монстр,,,
monthly,adj,ежемесячный,,,
monthly,adv,ежемесячно,,,
monument,n,памятник,,,
moral,adj,моральный,,,
moral,n,мораль,,,
moreover,adv,более того,,,
mortgage,n,ипотека,,,
mosque,n,мечеть,,,
mosquito,n,комар,,,
motion,n,движение,,,
motivate,v,мотивировать,,,
motivation,n,мотивация,,,
motor,n,мотор,,,
mount,v,"подниматься, монтировать",,,
moving,adj,трогательный,,,
multiple,adj,множественный,,,
multiply,v,умножать,,,
mysterious,adj,загадочный,,,
myth,n,миф,,,
naked,adj,голый,,,
nasty,adj,противный,,,
navigation,n,навигация,,,
nearby,adj,ближайший,,,
nearby,adv,рядом,,,
neat,adj,аккуратный,,,
necessity,n,необходимость,,,
negative,n,"отрицание, минус",,,
negotiate,v,вести переговоры,,,
negotiation,n,переговоры,,,
nerve,n,нерв,,,
neutral,adj,нейтральный,,,
nevertheless,adv,тем не менее,,,
newly,adv,недавно,,,
nickel,n,никель,,,
nightmare,n,кошмар,,,
nostalgia,n,ностальгия,,,
notebook,n,"блокнот, тетрадь",,,
notion,n,понятие,,,
novelist,n,романист,,,
nowadays,adv,в наши дни,,,
numerous,adj,многочисленный,,,
nursing,n,сестринское дело,,,
nutrition,n,питание,,,
obesity,n,ожирение,,,
obey,v,подчиняться,,,
object,n,предмет,,,
object,v,возражать,,,
objective,n,цель,,,
obligatory,adj,обязательный,,,
obligation,n,обязательство,,,
observation,n,наблюдение,,,
observe,v,наблюдать,,,
observer,n,наблюдатель,,,
obstacle,n,препятствие,,,
obtain,v,получать,,,
occasionally,adv,время от времени,,,
occupation,n,"занятие, профессия",,,
occupy,v,занимать,,,
offence,n,"правонарушение, обида",,,
offend,v,обижать,,,
offender,n,правонарушитель,,,
offensive,adj,оскорбительный,,,
ongoing,adj,продолжающийся,,,
onwards,adv,дальше,,,
opening,n,открытие,,,
openly,adv,открыто,,,
opera,n,опера,,,
operate,v,"управлять, работать",,,
operator,n,оператор,,,
opponent,n,противник,,,
oppose,v,противостоять,,,
opposed,adj,против,,,
opposition,n,"оппозиция, сопротивление",,,
optical,adj,оптический,,,
optimistic,adj,оптимистичный,,,
orchestra,n,оркестр,,,
organ,n,орган,,,
organic,adj,органический,,,
origin,n,происхождение,,,
otherwise,adv,иначе,,,
outcome,n,результат,,,
outer,adj,внешний,,,
outfit,n,наряд,,,
outline,n,"план, очертание",,,
outline,v,обрисовывать,,,
output,n,"выпуск, вывод",,,
outstanding,adj,выдающийся,,,
overall,adj,общий,,,
overall,adv,в целом,,,
overcome,v,преодолевать,,,
overnight,adv,за ночь,,,
overnight,adj,ночной,,,
overseas,adv,за границей,,,
overseas,adj,зарубежный,,,
owe,v,быть должным,,,
ownership,n,владение,,,
oxygen,n,кислород,,,
pace,n,темп,,,
pace,v,расхаживать,,,
packet,n,"пакет, пачка",,,
palm,n,"ладонь, пальма",,,
panel,n,"панель, комиссия",,,
panic,n,паника,,,
panic,v,паниковать,,,
parade,n,парад,,,
parallel,adj,параллельный,,,
parallel,n,параллель,,,
parliament,n,парламент,,,
part-time,adj,неполный рабочий день,,,
part-time,adv,неполный рабочий день,,,
participant,n,участник,,,
participation,n,участие,,,
partly,adv,частично,,,
partnership,n,партнёрство,,,
passage,n,"проход, отрывок",,,
passionate,adj,страстный,,,
password,n,пароль,,,
patch,n,"заплатка, участок",,,
patience,n,терпение,,,
pause,n,пауза,,,
pause,v,делать паузу,,,
peer,n,сверстник,,,
penalty,n,"штраф, наказание",,,
pension,n,пенсия,,,
perceive,v,воспринимать,,,
perception,n,восприятие,,,
permanent,adj,постоянный,,,
permanently,adv,постоянно,,,
permit,n,разрешение,,,
permit,v,разрешать,,,
perspective,n,"перспектива, взгляд",,,
pharmacy,n,аптека,,,
phase,n,фаза,,,
phenomenon,n,явление,,,
philosophy,n,философия,,,
physician,n,врач,,,
pile,n,"стопка, куча",,,
pile,v,складывать,,,
pill,n,таблетка,,,
pitch,n,"подача, поле, высота тона",,,
pity,n,жалость,,,
placement,n,размещение,,,
plain,adj,"простой, однотонный",,,
pointed,adj,заострённый,,,
popularity,n,популярность,,,
portion,n,"порция, доля",,,
pose,n,поза,,,
pose,v,позировать,,,
possess,v,владеть,,,
potential,adj,потенциальный,,,
potential,n,потенциал,,,
potentially,adv,потенциально,,,
praise,v,хвалить,,,
precious,adj,драгоценный,,,
precise,adj,точный,,,
precisely,adv,точно,,,
predictable,adj,предсказуемый,,,
preference,n,предпочтение,,,
pregnant,adj,беременная,,,
preparation,n,подготовка,,,
presence,n,присутствие,,,
preserve,v,сохранять,,,
presidential,adj,президентский,,,
pride,n,гордость,,,
primarily,adv,прежде всего,,,
prime,adj,"главный, первоклассный",,,
principal,adj,главный,,,
principal,n,директор школы,,,
principle,n,принцип,,,
prior,adj,предшествующий,,,
priority,n,приоритет,,,
privacy,n,конфиденциальность,,,
probability,n,вероятность,,,
probable,adj,вероятный,,,
procedure,n,процедура,,,
proceed,v,"продолжать, приступать",,,
professional,adj,профессиональный,,,
professional,n,профессионал,,,
programming,n,программирование,,,
progressive,adj,прогрессивный,,,
prohibit,v,запрещать,,,
promising,adj,многообещающий,,,
promotion,n,"продвижение, акция",,,
prompt,v,побуждать,,,
proof,n,доказательство,,,
proportion,n,"пропорция, доля",,,
proposal,n,предложение,,,
propose,v,предлагать,,,
prospect,n,перспектива,,,
protection,n,защита,,,
protein,n,белок,,,
protester,n,протестующий,,,
proven,adj,доказанный,,,
psychological,adj,психологический,,,
psychologist,n,психолог,,,
psychology,n,психология,,,
publication,n,публикация,,,
publicity,n,"огласка, реклама",,,
publishing,n,издательское дело,,,
punk,n,панк,,,
pupil,n,"ученик, зрачок",,,
purchase,n,покупка,,,
purchase,v,покупать,,,
pure,adj,чистый,,,
purely,adv,исключительно,,,
pursue,v,"преследовать, заниматься",,,
pursuit,n,"погоня, занятие",,,
puzzle,n,головоломка,,,
question,v,задавать вопросы,,,
questionnaire,n,анкета,,,
racial,adj,расовый,,,
racism,n,расизм,,,
racist,adj,расистский,,,
racist,n,расист,,,
radar,n,радар,,,
radiation,n,"радиация, излучение",,,
rail,n,"рельс, железная дорога",,,
random,adj,случайный,,,
rank,n,ранг,,,
rank,v,ранжировать,,,
rapid,adj,быстрый,,,
rapidly,adv,быстро,,,
raw,adj,сырой,,,
realistic,adj,реалистичный,,,
reasonable,adj,разумный,,,
reasonably,adv,"достаточно, разумно",,,
rebuild,v,перестраивать,,,
recall,v,вспоминать,,,
receiver,n,"получатель, приёмник",,,
recession,n,"рецессия, спад",,,
reckon,v,полагать,,,
recognition,n,признание,,,
recover,v,восстанавливаться,,,
recovery,n,восстановление,,,
recruit,v,"нанимать, вербовать",,,
reduction,n,сокращение,,,
referee,n,судья спортивный,,,
refugee,n,беженец,,,
regard,v,"считать, относиться",,,
regional,adj,региональный,,,
register,v,регистрировать,,,
registration,n,регистрация,,,
regret,v,сожалеть,,,
regulate,v,регулировать,,,
regulation,n,"правило, регулирование",,,
reinforce,v,укреплять,,,
relatively,adv,относительно,,,
relevant,adj,"актуальный, уместный",,,
relief,n,облегчение,,,
relieve,v,облегчать,,,
relieved,adj,испытывающий облегчение,,,
rely on,v,полагаться на,,,
remark,n,замечание,,,
remark,v,замечать,,,
remarkable,adj,замечательный,,,
remarkably,adv,удивительно,,,
reporting,n,"репортаж, освещение",,,
representative,n,представитель,,,
representative,adj,представительный,,,
reputation,n,репутация,,,
requirement,n,требование,,,
rescue,v,спасать,,,
research,n,исследование,,,
research,v,исследовать,,,
reserve,v,"бронировать, запасать",,,
resident,n,житель,,,
resign,v,увольняться,,,
resist,v,сопротивляться,,,
resolution,n,"решение, резолюция",,,
resolve,v,"решать, разрешать",,,
resort,n,курорт,,,
restore,v,восстанавливать,,,
restrict,v,ограничивать,,,
restriction,n,ограничение,,,
résumé,n,резюме,,,
retail,n,розничная торговля,,,
retain,v,удерживать,,,
retirement,n,выход на пенсию,,,
reveal,v,раскрывать,,,
revenue,n,"доход, выручка",,,
revision,n,"повторение, пересмотр",,,
revolution,n,революция,,,
reward,n,награда,,,
reward,v,награждать,,,
rhythm,n,ритм,,,
rid,adj,избавившийся,,,
ridiculous,adj,нелепый,,,
risky,adj,рискованный,,,
rival,n,соперник,,,
rob,v,грабить,,,
robbery,n,ограбление,,,
rocket,n,ракета,,,
romance,n,"роман, романтика",,,
root,n,корень,,,
rose,n,роза,,,
roughly,adv,приблизительно,,,
rub,v,тереть,,,
rubber,n,резина,,,
ruin,v,разрушать,,,
rural,adj,сельский,,,
rush,v,"мчаться, спешить",,,
satellite,n,спутник,,,
satisfaction,n,удовлетворение,,,
satisfied,adj,довольный,,,
satisfy,v,удовлетворять,,,
saving,n,сбережение,,,
scale,n,"масштаб, шкала",,,
scandal,n,скандал,,,
scare,v,пугать,,,
scholar,n,учёный,,,
scholarship,n,стипендия,,,
scratch,v,царапать,,,
scream,v,кричать,,,
screening,n,"показ, скрининг",,,
sector,n,сектор,,,
secure,v,"обеспечивать, защищать",,,
seek,v,искать,,,
seeker,n,искатель,,,
select,v,отбирать,,,
selection,n,выбор,,,
self,n,"своё я, самость",,,
seminar,n,семинар,,,
senior,adj,старший,,,
senior,n,старший сотрудник,,,
sensitive,adj,чувствительный,,,
sequence,n,последовательность,,,
session,n,"сессия, занятие",,,
settle,v,"селиться, улаживать",,,
settler,n,поселенец,,,
severe,adj,суровый,,,
severely,adv,сурово,,,
sexy,adj,сексуальный,,,
shade,n,"тень, оттенок",,,
shadow,n,тень,,,
shallow,adj,мелкий,,,
shame,n,стыд,,,
shaped,adj,имеющий форму,,,
shelter,n,укрытие,,,
shooting,n,стрельба,,,
shore,n,берег,,,
short-term,adj,краткосрочный,,,
shortage,n,нехватка,,,
shortly,adv,вскоре,,,
sibling,n,брат или сестра,,,
sidewalk,n,тротуар,,,
signature,n,подпись,,,
significance,n,значимость,,,
significant,adj,значительный,,,
significantly,adv,значительно,,,
silence,n,тишина,,,
silk,n,шёлк,,,
sincere,adj,искренний,,,
skilled,adj,квалифицированный,,,
skull,n,череп,,,
slave,n,раб,,,
slide,v,скользить,,,
slight,adj,незначительный,,,
slip,v,поскальзываться,,,
slogan,n,лозунг,,,
slope,n,склон,,,
so-called,adj,так называемый,,,
solar,adj,солнечный,,,
somehow,adv,как-нибудь,,,
sometime,adv,когда-нибудь,,,
somewhat,adv,несколько,,,
sophisticated,adj,"изощрённый, сложный",,,
soul,n,душа,,,
source,n,источник,,,
spare,adj,"запасный, свободный",,,
specialise,v,специализироваться,,,
specialist,n,специалист,,,
species,n,вид биологический,,,
specify,v,указывать,,,
spectacular,adj,впечатляющий,,,
spectator,n,зритель,,,
speculate,v,предполагать,,,
speculation,n,предположение,,,
spice,n,специя,,,
spill,v,проливать,,,
spiritual,adj,духовный,,,
in spite of,prep,несмотря на,,,
split,v,разделять,,,
spoil,v,портить,,,
spokesman,n,представитель мужчина,,,
spokesperson,n,представитель,,,
spokeswoman,n,представитель женщина,,,
sponsor,n,спонсор,,,
sponsor,v,спонсировать,,,
sponsorship,n,спонсорство,,,
stable,adj,стабильный,,,
stall,n,"ларёк, стойло",,,
stance,n,позиция,,,
stare,v,пристально смотреть,,,
starve,v,голодать,,,
statistic,n,"статистика, показатель",,,
status,n,статус,,,
steadily,adv,устойчиво,,,
steady,adj,устойчивый,,,
steam,n,пар,,,
steel,n,сталь,,,
steep,adj,крутой,,,
sticky,adj,липкий,,,
stiff,adj,жёсткий,,,
stimulate,v,стимулировать,,,
stock,n,"запас, акции",,,
stream,n,"ручей, поток",,,
strengthen,v,укреплять,,,
stretch,v,растягивать,,,
strict,adj,строгий,,,
strictly,adv,строго,,,
strike,n,забастовка,,,
strike,v,"бастовать, ударять",,,
striking,adj,поразительный,,,
stroke,n,"инсульт, мазок",,,
struggle,v,бороться,,,
stunning,adj,потрясающий,,,
submit,v,"подавать, подчиняться",,,
substance,n,вещество,,,
suburb,n,пригород,,,
suffering,n,страдание,,,
sufficient,adj,достаточный,,,
sufficiently,adv,достаточно,,,
sum,n,сумма,,,
super,adj,превосходный,,,
surgeon,n,хирург,,,
surgery,n,"хирургия, операция",,,
surround,v,окружать,,,
surrounding,adj,окружающий,,,
survival,n,выживание,,,
survivor,n,выживший,,,
suspect,n,подозреваемый,,,
suspect,v,подозревать,,,
suspend,v,приостанавливать,,,
sustainability,n,устойчивость,,,
sustainable,adj,устойчивый,,,
swallow,v,глотать,,,
swear,v,"клясться, ругаться",,,
sweep,v,мести,,,
symbol,n,символ,,,
symbolise,v,символизировать,,,
sympathetic,adj,сочувствующий,,,
sympathy,n,сочувствие,,,
tag,n,ярлык,,,
tag,v,помечать,,,
tale,n,"рассказ, сказка",,,
tank,n,"бак, танк",,,
tap,n,кран,,,
tap,v,стучать,,,
tear,n,слеза,,,
tear,v,рвать,,,
technological,adj,технологический,,,
teen,n,подросток,,,
temple,n,"храм, висок",,,
temporarily,adv,временно,,,
temporary,adj,временный,,,
tendency,n,тенденция,,,
tension,n,напряжение,,,
terminal,n,терминал,,,
terminal,adj,"конечный, терминальный",,,
terms,n,условия,,,
terribly,adv,ужасно,,,
terrify,v,наводить ужас,,,
territory,n,территория,,,
terror,n,ужас,,,
terrorism,n,терроризм,,,
terrorist,n,террорист,,,
testing,n,тестирование,,,
textbook,n,учебник,,,
theft,n,кража,,,
therapist,n,психотерапевт,,,
therapy,n,терапия,,,
theory,n,теория,,,
therefore,adv,поэтому,,,
thorough,adj,тщательный,,,
thoroughly,adv,тщательно,,,
threat,n,угроза,,,
threaten,v,угрожать,,,
thumb,n,большой палец,,,
thus,adv,таким образом,,,
timing,n,выбор времени,,,
tissue,n,ткань,,,
tone,n,тон,,,
tough,adj,"жёсткий, трудный",,,
tournament,n,турнир,,,
toxic,adj,токсичный,,,
trace,n,след,,,
trace,v,отслеживать,,,
track,n,"трасса, след",,,
track,v,отслеживать,,,
trading,n,торговля,,,
tragedy,n,трагедия,,,
tragic,adj,трагический,,,
trait,n,черта,,,
transfer,n,"перемещение, трансфер",,,
transfer,v,переводить,,,
transform,v,преобразовывать,,,
transition,n,переход,,,
transmit,v,передавать,,,
trap,n,ловушка,,,
trap,v,ловить,,,
treasure,n,сокровище,,,
trial,n,"судебный процесс, испытание",,,
tribe,n,племя,,,
trillion,num,триллион,,,
troop,n,"войско, отряд",,,
tropical,adj,тропический,,,
truly,adv,по-настоящему,,,
trust,n,доверие,,,
trust,v,доверять,,,
tsunami,n,цунами,,,
tune,n,мелодия,,,
tunnel,n,туннель,,,
ultimate,adj,окончательный,,,
